year,ADM1CD_c,spat_def
2021,BFA009,1.0223960400279613
2021,BFA010,1.0750805728952402
2021,BFA011,1.0178921393281781
2021,BFA004,0.9895228306134232
2021,BFA012,1.0550426528742538
2021,BFA003,1.0778408602741547
2021,BFA013,1.0361092629726045
2021,BFA006,1.0635784622980282
2021,BFA005,0.9812508741347119
2021,BFA008,1.090501072627958
2021,BFA001,1.0445343692437745
2018,BFA005,0.9843226351984776
2018,BFA012,1.0753006817027928
2018,BFA010,1.0989742420054973
2018,BFA003,1.0742598639335483
2018,BFA011,1.0949808492907325
2018,BFA004,0.975330525659956
2018,,1.0974187796167099
2018,BFA006,1.067418446217198
2018,BFA007,1.0377845131466166
2018,BFA009,1.023488376326859
2018,BFA013,1.0560217410884798
2018,BFA002,1.0214194454415702
2018,BFA001,1.0919854938192293
2018,BFA008,1.0828850699076429
2021,BFA002,1.0097377951536328
2021,,1.0212103877472691
2021,BFA007,1.0432017584564164
