year,ADM1CD_c,spat_def
2021,BFA009,0.9801214934280142
2021,BFA010,1.0786889477958903
2021,BFA011,1.0319412248255686
2021,BFA004,1.025074556064792
2021,BFA012,1.0453223179047928
2021,BFA003,1.0877474577631803
2021,BFA013,1.087843206105754
2021,BFA006,1.049405732192099
2021,BFA005,0.9817806469416246
2021,BFA008,1.0091854176856578
2021,BFA001,1.0274920745566487
2018,BFA005,1.02291190803051
2018,BFA012,1.0522329582786187
2018,BFA010,0.9794979514321313
2018,BFA003,1.0512681657215581
2018,BFA011,1.0840247553586961
2018,BFA004,1.0887079928210006
2018,,0.9974715740606189
2018,BFA006,1.0430399065371603
2018,BFA007,1.0381291192630306
2018,BFA009,1.0668178599281237
2018,BFA013,1.0000356891518458
2018,BFA002,1.0338806506292895
2018,BFA001,0.965148261776194
2018,BFA008,0.9833893316192552
2021,BFA002,1.0487711741495878
2021,,1.0483663414604962
2021,BFA007,0.9795674213627353
